mu_g,mu_r,mu_b,sd_g,sd_r,sd_b
0.8401148,0.590259,0.74152213,0.15611587,0.23102707,0.14186172
0.9566422,0.9170529,0.91543204,0.047790643,0.06812437,0.053865716
0.9546343,0.8888866,0.8932438,0.05547954,0.083576754,0.062419504
0.8074899,0.42918557,0.56710196,0.19489521,0.35774118,0.26987243
0.9691566,0.8249924,0.866038,0.043320414,0.16789562,0.116935454
0.94423103,0.6189139,0.744385,0.09439955,0.2301509,0.15524481
0.8524746,0.55805826,0.7161754,0.15023859,0.26847622,0.17328395
0.8549827,0.48524094,0.6521768,0.14705968,0.30581707,0.21050596
0.8490495,0.52690625,0.7006332,0.14928877,0.27648532,0.17761989
0.8389671,0.5230856,0.68318456,0.15412164,0.29477262,0.19479918
0.93274844,0.7947834,0.84192514,0.07722467,0.14043644,0.09181768
0.90540624,0.64685166,0.77928686,0.13948043,0.24269848,0.16566473
0.9076555,0.7899602,0.8313951,0.0858136,0.13510469,0.08948038
0.9085922,0.686981,0.8089887,0.13756591,0.22400406,0.14652689
0.9088162,0.76134753,0.8184533,0.12661672,0.21497539,0.15442136
0.87187326,0.5686999,0.7196821,0.17962515,0.30066037,0.19321571
0.82746315,0.69710696,0.7704792,0.17642176,0.19953859,0.13451022
0.92333806,0.81663996,0.8528288,0.08334437,0.13147168,0.089059904
0.93889403,0.8887176,0.89471245,0.059029914,0.078417435,0.058614418
0.8660598,0.7957381,0.8221323,0.13398802,0.15033463,0.11270644
0.8062017,0.48662567,0.6765314,0.16353078,0.30152684,0.19294074
0.8001289,0.6056425,0.74178386,0.18761599,0.27782592,0.17902458
0.8566519,0.75638515,0.8475312,0.13149947,0.14644857,0.082879744
0.9354064,0.8122567,0.86152434,0.08262716,0.13729046,0.08855028
0.9593281,0.70601594,0.82095194,0.056221567,0.21490254,0.12878735
0.96124303,0.9258201,0.9236313,0.032420013,0.042727962,0.038075585
0.838261,0.6163846,0.702255,0.15249535,0.2493825,0.1864274
0.74064213,0.5130142,0.6953119,0.21349986,0.30231148,0.19190787
0.9133776,0.8405916,0.86893576,0.09953143,0.12748288,0.08513679
0.9150968,0.6864013,0.79451597,0.09269627,0.21115153,0.13816479
0.78242683,0.5791259,0.7199845,0.19756399,0.28629944,0.18235943
0.84286225,0.7707662,0.86267537,0.15206617,0.1562323,0.081789434
0.92216516,0.84996456,0.87591386,0.084712386,0.116088375,0.080772325
0.8712413,0.7861585,0.8653187,0.13274612,0.14356527,0.0790424
0.9194081,0.8653504,0.888152,0.081743285,0.10287036,0.07133564
0.9561033,0.6363472,0.74306446,0.079397425,0.24435008,0.16936918
0.835107,0.6479041,0.7307605,0.14198239,0.22684963,0.16745852
0.90689915,0.64687175,0.78024775,0.1490225,0.2083234,0.12911253
0.91436213,0.53269273,0.6912814,0.10751856,0.28145456,0.19114481
0.8847482,0.6836126,0.8283261,0.13467626,0.2131992,0.11378624
0.8546411,0.5774382,0.71420777,0.15180926,0.2548873,0.1747436
0.84137493,0.5337798,0.7001199,0.15825719,0.29819193,0.18955928
0.93049073,0.83846915,0.8514945,0.0817629,0.11884252,0.08816768
0.83330023,0.5882298,0.7473042,0.14959282,0.24826948,0.154695
0.9444048,0.7531253,0.8205076,0.088026755,0.16738603,0.11102878
0.875603,0.58971953,0.72927076,0.1425347,0.27198383,0.17812745
0.9313705,0.80568904,0.8765607,0.09620513,0.14377265,0.08225894
0.8581329,0.5064528,0.6773251,0.15096876,0.29617918,0.1939271
0.8442048,0.67725277,0.7667246,0.15642479,0.21370082,0.14133066
0.95353276,0.87532485,0.90342194,0.060366724,0.0869587,0.0550782
0.9206953,0.7732718,0.8307526,0.11697702,0.1832093,0.12204169
0.962136,0.838364,0.87866014,0.049387537,0.11483449,0.07614899
0.86359036,0.5346188,0.70385283,0.124258906,0.26410326,0.17359488
0.94206464,0.8806196,0.8967284,0.06689888,0.09612873,0.06774913
0.7981315,0.5304091,0.6907856,0.16025189,0.26103878,0.16864295
0.8786096,0.61834353,0.7772584,0.15915668,0.25007248,0.14282417
0.9435049,0.88994306,0.89915323,0.057916816,0.084252805,0.060508344
0.9131988,0.63072586,0.7619239,0.09852795,0.2152341,0.14639835
0.90993214,0.6272826,0.75263023,0.107157625,0.23382793,0.15194471
0.9313226,0.84434974,0.8998339,0.08342038,0.10457942,0.05701466
0.95571196,0.87600434,0.8861373,0.05478154,0.10265502,0.0833167
0.95300406,0.9057557,0.9085728,0.043530878,0.064801805,0.0496101
0.82830083,0.6526031,0.8074533,0.13165979,0.18637404,0.10073537
0.8463296,0.70045125,0.7780112,0.17012501,0.19658257,0.13208836
0.9134972,0.8286714,0.8828778,0.11637716,0.15620747,0.09604876
0.9476333,0.8531678,0.8572431,0.06628678,0.13862823,0.110138685
0.9047681,0.826486,0.8553915,0.10309179,0.12808347,0.08925073
0.9091753,0.78669333,0.8351287,0.09956132,0.14858678,0.100359544
0.8273612,0.6016742,0.7444741,0.18059126,0.219559,0.13372812
0.9178691,0.6354375,0.76674116,0.11552654,0.2388111,0.14881569
0.87167597,0.72251385,0.8187276,0.12908211,0.19376612,0.11918861
0.93346006,0.8154885,0.85296595,0.07191856,0.1215282,0.081610024
0.93883044,0.7473638,0.8265001,0.10130703,0.17753024,0.11136321
0.9160571,0.7979681,0.8389438,0.108073294,0.1577391,0.104949854
0.92459875,0.8243233,0.8556195,0.08399556,0.12591694,0.087179594
0.79430187,0.5389325,0.7007737,0.1596626,0.254448,0.16339993
0.9266731,0.7990956,0.83932894,0.0826199,0.14554864,0.104550146
0.9154178,0.73768234,0.82557106,0.11774924,0.18747386,0.11154343
0.93770134,0.8405281,0.8781751,0.07955146,0.11804782,0.073856525
0.92609644,0.63811827,0.7705473,0.113127954,0.21702282,0.14024898
0.93357056,0.87438995,0.88108677,0.07636305,0.09841988,0.07145319
0.953292,0.7469392,0.8127205,0.06872411,0.18001491,0.121943444
0.761162,0.5557263,0.7192038,0.21135874,0.29997724,0.19149192
0.8647145,0.5630766,0.704748,0.1378419,0.25367963,0.16837882
0.7645478,0.5144641,0.7029922,0.1819692,0.2824546,0.17089547
0.9144918,0.8703367,0.87454915,0.07666225,0.08761935,0.075951084
0.77856797,0.57649326,0.71654963,0.19337447,0.26761276,0.17562005
0.8060187,0.62291783,0.75292367,0.17892425,0.2690397,0.1719513
0.9356321,0.8251707,0.8610352,0.07405132,0.14614289,0.09916203
0.92127967,0.8407824,0.8614564,0.09196016,0.11944465,0.083095245
0.9500567,0.8933849,0.9015244,0.04686469,0.06831508,0.049841683
0.85992867,0.58981115,0.7460712,0.16316648,0.25187126,0.15188925
0.9246766,0.8474156,0.8700919,0.093176246,0.12637138,0.08703104
0.82408637,0.52881956,0.69370496,0.16860405,0.30089694,0.19575457
0.9437825,0.89810854,0.8989831,0.045773476,0.06718983,0.051047616
0.84337884,0.5585187,0.6970639,0.15883864,0.3164044,0.21886918
0.8913145,0.7444949,0.862469,0.11767683,0.1666699,0.082956314
0.84944123,0.596688,0.75073534,0.13653487,0.23158798,0.14221393
0.8233998,0.4560984,0.59936076,0.18210778,0.35203665,0.25918633
0.886914,0.5849216,0.72870314,0.12298609,0.24939293,0.15993892
0.914511,0.7435316,0.8571342,0.109647155,0.16923186,0.09521982
0.89642835,0.7275252,0.7891715,0.1270799,0.19768655,0.13443033
0.9184191,0.8410909,0.8666752,0.081348196,0.10277401,0.07277116
0.9418628,0.84688514,0.882927,0.07168423,0.13472018,0.08968247
0.8743506,0.63362885,0.7800032,0.16368066,0.25079063,0.16154118
0.8959197,0.7380631,0.8114924,0.10360546,0.16972904,0.113009244
0.82528025,0.5619838,0.73150975,0.15056032,0.23090254,0.14082909
0.9086073,0.7345386,0.81456757,0.11348462,0.17589456,0.11265558
0.812078,0.57938945,0.67304516,0.16449712,0.25969356,0.19630747
0.9343094,0.8231632,0.87402165,0.080134645,0.12715769,0.076752245
0.9318242,0.83990157,0.8721589,0.07968751,0.11727633,0.07901415
0.8463664,0.59390336,0.7309785,0.15314043,0.25625473,0.16867031
0.9498345,0.6045263,0.7214634,0.08035325,0.30844972,0.21770333
0.8541757,0.67770195,0.79157794,0.14463742,0.20218854,0.12085775
0.8891721,0.77969354,0.8057634,0.10693943,0.14142871,0.11735542
0.8419555,0.5814988,0.72169995,0.16677473,0.30011588,0.19816606
0.8608684,0.68080544,0.7876737,0.1321477,0.21407501,0.14548537
