mu_g,mu_r,mu_b,sd_g,sd_r,sd_b
0.926189,0.7280458,0.8072245,0.09742811,0.17370498,0.109131254
0.90813065,0.661964,0.7817305,0.1081705,0.22472402,0.14425655
0.8698032,0.6642282,0.7856568,0.13104919,0.22999865,0.1415651
0.88392806,0.66335064,0.81464344,0.14348611,0.19420055,0.10229258
0.78694564,0.53084695,0.7088512,0.1614089,0.26916644,0.16523059
0.8954394,0.6814895,0.78502035,0.112030536,0.19799729,0.13222323
0.9316199,0.8679788,0.89090717,0.07260925,0.09163959,0.06505616
0.9329866,0.8252384,0.87341034,0.09161301,0.1261613,0.076101504
0.8614305,0.5185267,0.6989044,0.13135184,0.2689952,0.16973642
0.9417764,0.88851535,0.8830815,0.056919985,0.08193341,0.06991726
0.91091925,0.81957155,0.8817295,0.11295743,0.150962,0.090710536
0.9331737,0.8020953,0.84069,0.0740563,0.13874769,0.099132754
0.93007225,0.85731673,0.8688589,0.074119754,0.108180344,0.07767454
0.8570621,0.6716754,0.76342124,0.15935718,0.23187967,0.1555332
0.8468132,0.5688017,0.70373935,0.156622,0.27463093,0.19123118
0.71668273,0.49411932,0.67983097,0.20076662,0.28595725,0.18574545
0.8333544,0.67090887,0.7794397,0.17467295,0.2393465,0.14433941
0.91019076,0.46879634,0.6572463,0.1060121,0.27122915,0.18383949
0.903628,0.6600339,0.801033,0.13469814,0.22527243,0.12843645
0.7302267,0.60041785,0.68796456,0.16015783,0.22358857,0.16730651
0.93756384,0.89717853,0.9038798,0.06482322,0.08098845,0.059558913
0.9224187,0.8795511,0.8906174,0.078707606,0.087636344,0.06295249
0.89064705,0.64877903,0.7659463,0.123898074,0.28219557,0.18116997
0.9027301,0.7114668,0.7909325,0.12352615,0.18477353,0.12093895
0.87739336,0.55136937,0.6731254,0.15039971,0.32580683,0.2418857
0.9285159,0.8702717,0.86777735,0.075348124,0.11020895,0.08712148
0.8969469,0.77862036,0.84988475,0.1385543,0.18755406,0.12584347
0.87705314,0.8065678,0.8876995,0.13631022,0.12950999,0.069910854
0.9245632,0.8763563,0.8875165,0.07847261,0.08955849,0.06588649
0.91304934,0.8099865,0.87098074,0.12514877,0.17210138,0.1085038
0.92049754,0.8408518,0.87599045,0.12653634,0.15278539,0.09392841
0.9055403,0.72999513,0.81763905,0.10415104,0.21676254,0.13138673
0.6996,0.42173365,0.57470167,0.21732618,0.33878428,0.25107282
0.88529164,0.6674976,0.7810722,0.1586272,0.242635,0.15020207
0.8832673,0.64083797,0.7844026,0.17102456,0.23932037,0.13691977
0.9683605,0.6465853,0.7502652,0.07048342,0.26521844,0.18858111
0.89757305,0.7279683,0.7787646,0.11210526,0.17703417,0.12732694
0.9236602,0.82681894,0.8716444,0.10199746,0.13492934,0.08868116
0.88919973,0.7887993,0.87017024,0.13696246,0.17000048,0.096012734
0.6124897,0.5261037,0.6095872,0.20410535,0.22419497,0.18093428
0.83800536,0.51648396,0.68079144,0.15580298,0.2918343,0.19269703
0.94512445,0.7915814,0.85155517,0.09107051,0.16014521,0.09796598
0.88707,0.8093488,0.88237387,0.11516669,0.12345181,0.06679133
0.9365075,0.84708583,0.8772254,0.078314915,0.12413286,0.085068084
0.93795943,0.84480405,0.8839563,0.08644242,0.115560025,0.06948285
0.88801634,0.7121298,0.82407236,0.16902193,0.23767185,0.14333302
0.7697137,0.53410923,0.7102392,0.17508377,0.2721964,0.17542155
0.9125643,0.8570497,0.87482315,0.10101141,0.105995655,0.08531815
0.7989666,0.5484348,0.69572926,0.17471048,0.29576227,0.19187915
0.9134389,0.7773781,0.8169303,0.10598972,0.16489975,0.115759306
0.84033793,0.57220775,0.7123409,0.16460375,0.298524,0.2027955
0.9323362,0.86070013,0.892086,0.09312095,0.10787664,0.06477509
0.86361736,0.5011157,0.6721228,0.13236405,0.30461028,0.19930364
0.89634293,0.5006217,0.64089245,0.12588708,0.3310275,0.23976547
0.9727448,0.8576409,0.89243,0.0374023,0.11296852,0.0735487
0.91368556,0.66632026,0.7797218,0.11208459,0.22974695,0.14512543
0.9395522,0.82386863,0.86380064,0.07402656,0.13432509,0.08792386
0.918461,0.7489456,0.8174906,0.10491204,0.18303382,0.12176828
0.93211025,0.85469097,0.8705183,0.0681509,0.094549686,0.07143696
0.94632024,0.74105084,0.80915326,0.07275806,0.18606079,0.123633735
0.90000397,0.854397,0.8747854,0.114569955,0.11986644,0.07910681
0.84262645,0.5983625,0.747414,0.17959125,0.25871298,0.15963049
0.9625429,0.8748635,0.8942581,0.03759232,0.108103365,0.0864885
0.94034547,0.85530007,0.8856504,0.07624815,0.111796536,0.07241759
0.86569685,0.65251964,0.7839106,0.13996485,0.2191274,0.13371114
0.9421918,0.8198676,0.85735947,0.07101978,0.14249781,0.1028885
0.9160387,0.8524493,0.8616264,0.088208996,0.11477984,0.08689826
0.73378575,0.48224437,0.6582287,0.19695756,0.30449826,0.2017041
0.8533899,0.4814858,0.660476,0.14749411,0.2963465,0.19730452
0.9436872,0.87743366,0.8933519,0.06858665,0.10749491,0.0716473
0.846494,0.71695596,0.8421443,0.14920881,0.16263863,0.0855894
0.83582217,0.5362995,0.67823553,0.15955223,0.32182977,0.2178128
0.95024806,0.90706354,0.90628165,0.052043833,0.06651469,0.05226521
0.87103033,0.6399558,0.78026605,0.16893148,0.24774575,0.16280638
0.83928144,0.58482933,0.73852515,0.16742733,0.24750236,0.15418957
0.8335498,0.43465587,0.6378136,0.12991597,0.27299896,0.17612551
0.9367137,0.8624644,0.8674097,0.06829869,0.0973206,0.07374304
0.8452501,0.6740858,0.7724325,0.18951355,0.28302154,0.18867943
0.85248387,0.6825359,0.8235289,0.17755759,0.21842536,0.119271025
0.88699365,0.74862707,0.82303715,0.15481779,0.21074352,0.1381217
0.8115584,0.49988806,0.69535017,0.15996355,0.2860984,0.1753429
0.8477056,0.52430975,0.6851206,0.14937799,0.29081073,0.19287744
0.93945456,0.8824909,0.88743705,0.07327948,0.096225716,0.07243029
0.88622683,0.70298797,0.82592577,0.1577714,0.21634853,0.13020657
0.88070357,0.51219976,0.6842968,0.13662173,0.29863968,0.19412373
0.94020736,0.88981926,0.8997651,0.06941356,0.09465012,0.07032944
0.8531397,0.79326063,0.86254305,0.13205853,0.137206,0.08262943
0.9530253,0.8460537,0.880584,0.07296626,0.135746,0.096465215
0.90090084,0.7694258,0.8514389,0.13228399,0.18918565,0.12089573
0.88696146,0.82318515,0.8498877,0.120004855,0.13068247,0.091717586
0.8682186,0.5374105,0.6908149,0.14691809,0.29674143,0.19902536
0.9040977,0.82979393,0.85691506,0.10453411,0.1272331,0.08832077
0.9130378,0.77580994,0.8219096,0.09442272,0.14542523,0.10375973
0.8393472,0.7463243,0.8077087,0.15142225,0.20634322,0.1448764
0.898663,0.7263274,0.7858276,0.12716523,0.1997653,0.13569553
0.7978346,0.5553243,0.69844854,0.18498392,0.28962576,0.18749733
0.90385795,0.6469301,0.76009953,0.114394784,0.2503018,0.17123052
0.9302726,0.81264776,0.86445975,0.08518708,0.12740016,0.07465569
0.93635917,0.7549323,0.82611656,0.0728649,0.19316837,0.13205558
0.8658193,0.51672137,0.6578407,0.1516681,0.3144115,0.227477
0.8991368,0.63922405,0.80195713,0.14295165,0.2403695,0.13812798
0.75891787,0.5019751,0.6719573,0.18213269,0.2807519,0.18410844
0.9363458,0.8297679,0.8722848,0.07471904,0.11009307,0.067643665
0.82690954,0.6003597,0.73979664,0.14874509,0.25210577,0.16549744
0.93128586,0.83474094,0.8831636,0.09001561,0.11048019,0.06494278
0.92430705,0.63687795,0.7923132,0.112707414,0.20270392,0.11632677
0.93023205,0.8462561,0.86986583,0.07467983,0.111500025,0.0787426
0.8573637,0.6334494,0.7739658,0.15632673,0.2392575,0.14400153
0.7629034,0.572941,0.72289103,0.19172363,0.2587251,0.1647746
0.767243,0.5467748,0.6993682,0.17771882,0.2763627,0.18211415
0.87705153,0.7975897,0.8766667,0.12366581,0.13304827,0.07152231
0.9188964,0.81743175,0.8543409,0.0940703,0.1370967,0.092199735
0.7610851,0.5124626,0.69405323,0.19493607,0.29769698,0.1862865
0.8163008,0.58676285,0.73831594,0.1715799,0.26718634,0.17039028
0.7735379,0.509152,0.67105025,0.18338732,0.2853573,0.18820235
0.94140476,0.88331544,0.90209806,0.07187873,0.09835754,0.06474771
0.82918966,0.45362687,0.6419384,0.15504989,0.31042433,0.20239852
0.9573893,0.8109687,0.8585791,0.059855714,0.1285407,0.08058099
0.8894991,0.4979282,0.63069093,0.13907954,0.32999802,0.24492514
0.93722945,0.86724824,0.8764453,0.07274321,0.106724545,0.07993423
0.9119103,0.786896,0.8314087,0.10173759,0.15109718,0.10159687
0.7893931,0.56186175,0.75076,0.21408221,0.29089242,0.16637565
0.9264957,0.80669594,0.8581163,0.09418802,0.13158606,0.08290495
0.9031278,0.79015505,0.86345893,0.12193051,0.16715522,0.09912301
0.9061639,0.8300654,0.86034817,0.10146404,0.11917477,0.08489996
0.89677584,0.6123461,0.77654684,0.14609735,0.23275705,0.13380203
0.9267873,0.8813708,0.8930366,0.08084564,0.092971295,0.067253724
0.9136889,0.77406406,0.82257605,0.10504988,0.15270723,0.10611924
0.9620103,0.8495302,0.8804821,0.051065587,0.10653209,0.07260021
0.96113247,0.7647992,0.83447427,0.06594205,0.17523217,0.113479294
0.9190201,0.6428083,0.7651406,0.10423815,0.2279333,0.14453581
0.86620694,0.7560005,0.8125547,0.15131533,0.18700622,0.12873168
0.90160745,0.80988324,0.88302135,0.095201604,0.123735815,0.07696168
0.8542237,0.7263832,0.8146899,0.14975971,0.19503279,0.120107375
0.91060287,0.6668503,0.7834266,0.09881002,0.2033823,0.13047102
0.90780574,0.64200497,0.7757315,0.1548426,0.22256854,0.13629153
0.823842,0.6090159,0.78498834,0.1449858,0.20900358,0.11329711
0.8332118,0.5180656,0.65919846,0.16767254,0.29815805,0.21576525
0.9120516,0.82848936,0.8574835,0.10606939,0.13384889,0.09092691
0.96898943,0.6800361,0.78222376,0.053209107,0.21596245,0.14650536
0.881678,0.65114224,0.747697,0.15295392,0.23735051,0.16001257
0.9194477,0.8503525,0.86871135,0.08315299,0.10460963,0.07489044
0.9481331,0.8859323,0.9028198,0.068496436,0.09190637,0.062308505
0.8649441,0.5118437,0.67819476,0.14690913,0.296259,0.19782741
0.9239661,0.86184996,0.88851625,0.09509925,0.107791156,0.07061722
0.8849265,0.7778731,0.8587659,0.13524993,0.17224109,0.10117903
0.9455396,0.87416214,0.8918379,0.063450135,0.09380273,0.06676983
0.92965317,0.8632443,0.8778585,0.088260025,0.10875288,0.07418419
0.70070016,0.47020334,0.60255563,0.1950944,0.2861324,0.21499255
0.79166615,0.5464854,0.69847375,0.18646446,0.28815752,0.18843879
0.9278982,0.8634924,0.88744813,0.09072921,0.10881464,0.07123232
0.8920519,0.72053295,0.78236943,0.11137557,0.1866989,0.13153148
0.92336726,0.80069953,0.8588387,0.10547035,0.14084356,0.08318469
0.8554941,0.79541445,0.88103706,0.13181113,0.12867327,0.06364528
0.8605978,0.6791082,0.7611977,0.15079406,0.21485928,0.15335187
0.79587483,0.4417606,0.6306532,0.17378514,0.31631133,0.20792235
0.71190155,0.45710975,0.6045159,0.22656484,0.35153666,0.2521
0.80174875,0.5417862,0.7187635,0.16089404,0.2718926,0.16548577
0.770729,0.49211892,0.6369501,0.19687809,0.31420603,0.22521083
0.7721693,0.62835026,0.7249814,0.1898072,0.25456792,0.18428016
0.93187255,0.8421553,0.85591286,0.076626785,0.10798986,0.07934859
0.8484828,0.5332123,0.6907344,0.14284474,0.30358532,0.20050949
0.8936162,0.5159972,0.6686022,0.13416922,0.3219475,0.2182007
0.9109862,0.7464687,0.7976066,0.111476645,0.18297581,0.13097224
0.88119954,0.6807556,0.8169969,0.16428481,0.21064787,0.114288345
0.9376062,0.8598034,0.89067817,0.0822401,0.11016923,0.06955514
0.90936124,0.7722347,0.83819586,0.12494755,0.16671331,0.104879126
0.9176542,0.72308725,0.8432571,0.103582494,0.18687482,0.10233232
0.8288824,0.55929846,0.70916504,0.16075352,0.29283413,0.18879172
0.9009142,0.7643003,0.82360154,0.102938585,0.17282145,0.118584394
0.9322149,0.8548886,0.8788511,0.09320817,0.12475591,0.08438338
0.87613356,0.78959054,0.8714758,0.15629573,0.16235791,0.090424895
0.68794346,0.5539021,0.6924965,0.25315174,0.31977892,0.21218565
0.9515711,0.86951935,0.88873523,0.055097263,0.10308838,0.069610335
0.906712,0.79889727,0.84736764,0.1057328,0.14126249,0.08874521
0.7667308,0.5924506,0.70750254,0.19849849,0.27704686,0.19247669
0.87327164,0.5910085,0.75778174,0.114080116,0.21981147,0.13808094
0.83570737,0.6975161,0.77259123,0.1733064,0.22452347,0.15321776
0.94748706,0.7926776,0.84296715,0.078371756,0.15213996,0.10134162
